affaire_id;client_id;type_affaire;objet;date_debut;date_fin;montant_ht;statut;commercial_referent;date_creation
AFF-0001;CLI-0022;Contrat cadre;Fourniture équipement annuel;2023-01-01;2023-08-14;56886.61;En cours;;2021-11-05
AFF-0002;CLI-0004;Commande ponctuelle;Fourniture maintenance technique;2021-09-12;2021-10-27;28908.54;Annulée;M. Petit;2022-02-05
AFF-0003;CLI-0019;Devis;Fourniture services spécifique;2021-08-02;2022-09-25;97483.84;En attente;P. Martin;2024-09-05
AFF-0004;CLI-0007;Commande ponctuelle;Fourniture matériel standard;2025-02-15;2025-10-11;62382.56;Terminée;A. Robert;2024-02-05
AFF-0005;CLI-0027;Appel d'offres;Fourniture services spécifique;2021-11-06;2022-07-29;125087.73;En attente;M. Petit;2021-04-20
AFF-0006;CLI-0046;Contrat cadre;Fourniture maintenance industriel;2020-12-12;2021-06-03;73503.29;;P. Martin;2019-12-16
AFF-0007;CLI-0051;Marché public;Fourniture pièces industriel;2020-10-08;2022-08-14;;;A. Robert;2024-10-31
AFF-0008;CLI-0024;Devis;Fourniture pièces industriel;2020-01-14;2021-08-10;2271.72;En attente;A. Robert;2024-03-29
AFF-0009;CLI-0034;Appel d'offres;Fourniture pièces spécifique;2020-08-07;2020-12-13;36524.84;En attente;P. Martin;2023-08-07
AFF-0010;CLI-0031;Contrat cadre;Fourniture matériel spécifique;2023-03-03;2023-12-07;34265.66;En cours;M. Petit;2023-08-23
AFF-0011;CLI-0033;Devis;Fourniture matériel annuel;2023-07-28;2023-09-05;12861.58;En attente;P. Martin;2021-12-28
AFF-0012;CLI-0009;Devis;Fourniture maintenance industriel;2024-12-22;2026-08-24;7461.01;En attente;S. Durand;2022-12-10
AFF-0013;CLI-0926;Appel d'offres;Fourniture équipement annuel;2023-04-17;2023-10-11;107050.35;En cours;S. Durand;2023-10-11
AFF-0014;CLI-0035;Devis;Fourniture pièces industriel;2021-11-10;2023-01-07;21422.61;En cours;P. Martin;2024-04-25
AFF-0015;CLI-0047;Contrat cadre;Fourniture pièces spécifique;2021-11-28;2023-09-08;143251.33;En attente;M. Petit;2021-12-21
AFF-0016;CLI-0042;Appel d'offres;Fourniture équipement industriel;2022-06-03;2023-01-09;99270.45;;P. Martin;2022-06-02
AFF-0017;CLI-0008;Contrat cadre;Fourniture pièces spécifique;2024-05-24;2026-04-03;58748.49;En cours;L. Bernard;2022-06-09
AFF-0018;CLI-0022;Contrat cadre;Fourniture pièces annuel;2021-01-18;2022-05-04;83433.63;En cours;P. Martin;2023-01-19
AFF-0019;CLI-0028;Devis;Fourniture maintenance technique;2021-08-20;2022-11-16;13162.58;Terminée;;2023-09-07
AFF-0020;CLI-0016;Appel d'offres;Fourniture services industriel;2021-09-08;2022-07-09;9958.44;Annulée;L. Bernard;2022-03-27
AFF-0021;CLI-0013;Contrat cadre;Fourniture services standard;2023-07-04;2024-12-22;29734.46;En attente;A. Robert;2023-09-04
AFF-0022;CLI-0004;Commande ponctuelle;Fourniture pièces standard;2022-06-20;2023-06-27;123618.52;;A. Robert;2021-08-31
AFF-0023;CLI-0034;Devis;Fourniture équipement standard;2025-05-29;2026-08-09;44071.5;Annulée;M. Petit;2022-07-23
AFF-0024;CLI-0026;Devis;Fourniture matériel spécifique;2022-01-17;2022-06-12;30370.11;Terminée;;2021-10-06
AFF-0025;CLI-0041;Commande ponctuelle;Fourniture pièces technique;2024-08-29;2024-12-07;119450.7;Annulée;L. Bernard;2021-02-21
AFF-0026;CLI-0040;Devis;Fourniture services annuel;2022-02-11;2022-05-27;89891.11;;P. Martin;2023-06-12
AFF-0027;CLI-0014;Commande ponctuelle;Fourniture maintenance industriel;2023-01-04;2024-10-03;13204.8;En attente;A. Robert;2023-11-23
