tarif_id;produit_id;client_id;prix_unitaire_ht;remise_pct;date_debut_validite;date_fin_validite;devise;conditions
TAR-0001;PRD-0017;CLI-0005;199.1;0;2023-10-01;2024-12-31;EUR;
TAR-0002;PRD-0128;STANDARD;146.9;0.9;2021-12-13;2022-07-17;EUR;Rendu site
TAR-0003;PRD-0020;CLI-0906;132.5;0;2021-02-10;2021-06-29;EUR;
TAR-0004;PRD-0009;STANDARD;139.13;6.7;2022-09-09;2024-02-11;EUR;Départ usine
TAR-0005;PRD-0004;CLI-0041;23.07;0;2022-02-11;2024-01-25;EUR;Départ usine
TAR-0006;PRD-0014;STANDARD;99.42;0;2023-09-12;2024-11-13;EUR;Franco
TAR-0007;PRD-0019;STANDARD;18.29;0;2021-07-27;2022-07-14;EUR;Rendu site
TAR-0008;PRD-0002;STANDARD;8.18;0;2024-10-18;2025-12-02;EUR;Franco
TAR-0009;PRD-0117;STANDARD;71.7;0;2024-06-27;2025-06-26;EUR;Rendu site
TAR-0010;PRD-0013;CLI-0042;138.07;1.5;2023-05-14;2024-01-29;EUR;Départ usine
TAR-0011;PRD-0019;CLI-0030;36.5;21.0;2023-01-05;;EUR;Départ usine
TAR-0012;PRD-0016;CLI-0018;12.95;14.1;2021-01-26;2022-10-15;EUR;Rendu site
TAR-0013;PRD-0023;STANDARD;132.44;22.3;2022-12-10;2024-04-07;EUR;Franco
TAR-0014;PRD-0120;CLI-0011;173.92;1.3;2023-10-04;2024-11-25;EUR;Départ usine
TAR-0015;PRD-0013;STANDARD;91.98;0;2023-07-07;2024-01-03;EUR;Franco
TAR-0016;PRD-0024;STANDARD;82.64;15.9;2021-01-01;2021-07-03;EUR;Départ usine
TAR-0017;PRD-0015;CLI-0033;163.37;17.9;2022-11-11;2024-09-04;EUR;Rendu site
TAR-0018;PRD-0004;CLI-0028;68.47;1.1;2022-08-21;2024-06-01;EUR;Départ usine
TAR-0019;PRD-0023;CLI-0001;122.29;17.9;2023-03-16;2024-01-20;EUR;Franco
TAR-0020;PRD-0002;CLI-0023;24.91;0;2023-07-26;2025-06-18;EUR;
TAR-0021;PRD-0194;CLI-0955;167.81;0;2023-11-08;2024-08-05;EUR;Départ usine
TAR-0022;PRD-0022;CLI-0020;176.31;24.3;2024-06-01;2025-05-11;EUR;
TAR-0023;PRD-0005;CLI-0032;102.61;15.8;2024-01-27;2025-03-13;EUR;Départ usine
TAR-0024;PRD-0023;CLI-0005;26.79;17.8;2021-12-31;2023-08-28;EUR;Rendu site
TAR-0025;PRD-0019;CLI-0051;134.95;0;2023-12-30;2025-01-15;EUR;Franco
TAR-0026;PRD-0001;STANDARD;11.6;0;2021-11-26;2022-12-14;EUR;Franco
TAR-0027;PRD-0010;CLI-0046;162.86;14.0;2024-10-15;2026-08-11;EUR;Départ usine
TAR-0028;PRD-0026;STANDARD;133.0;7.8;2023-03-05;2024-08-02;EUR;Franco
TAR-0029;PRD-0132;CLI-0030;166.05;15.1;2024-12-14;2026-03-25;EUR;Départ usine
TAR-0030;PRD-0006;STANDARD;192.51;0;2021-09-02;;EUR;Rendu site
TAR-0031;PRD-0019;STANDARD;93.43;19.3;2021-03-23;2021-11-25;EUR;Rendu site
