inscription_id;usager_id;date_debut;date_fin;statut;justificatif_pmr;zone
INS-0001;USG-0001;2024-08-06;2026-02-02;Validee;Oui;78
INS-0002;USG-0002;2024-03-24;2025-01-24;Expiree;;92
INS-0003;USG-0003;2024-04-08;2025-10-05;Validee;Oui;78
INS-0004;USG-0004;2024-02-21;2025-08-19;Validee;Oui;93
INS-0005;USG-0005;2024-01-30;2025-07-28;Validee;Oui;75
INS-0006;USG-0006;2024-11-13;2026-05-12;Validee;Oui;75
INS-0007;USG-0007;2024-12-07;2026-12-07;Validee;Oui;93
INS-0008;USG-0008;2024-11-22;2026-11-22;Validee;Oui;75
INS-0009;USG-0009;2024-02-17;2025-02-16;Expiree;Oui;94
INS-0010;USG-0010;2024-07-17;2026-01-13;Validee;Oui;92
INS-0011;USG-0011;2024-07-17;2025-07-17;Validee;Oui;75
INS-0012;USG-0012;2024-08-01;2025-08-01;Validee;;78
INS-0013;USG-0013;2024-05-16;2025-11-12;Validee;Oui;93
INS-0014;USG-0014;2024-02-03;2025-02-02;Expiree;Oui;93
INS-0015;USG-0015;2024-10-18;2025-10-18;Validee;Oui;92
INS-0016;USG-0016;2024-06-07;2025-12-04;Validee;Oui;93
INS-0017;USG-0017;2024-01-12;2026-01-11;Validee;Oui;92
INS-0018;USG-0018;2024-08-06;2025-08-06;Validee;Oui;92
INS-0019;USG-0019;2024-03-28;2025-01-08;Expiree;Oui;75
INS-0020;USG-0020;2024-08-17;2026-08-17;Validee;Oui;94
INS-0021;USG-0021;2024-12-30;2026-12-30;Validee;;92
INS-0022;USG-0022;2024-02-15;2025-01-18;Expiree;Oui;75
INS-0023;USG-0023;2024-04-16;2025-01-28;Expiree;Oui;75
INS-0024;USG-0024;2024-12-31;2025-12-31;Validee;Oui;94
INS-0025;USG-0025;2024-11-11;2026-05-10;Validee;Oui;94
INS-0026;USG-0026;2024-08-07;2026-08-07;Validee;;92
INS-0027;USG-0027;2024-03-18;2026-03-18;Validee;Oui;78
INS-0028;USG-0028;2024-06-03;2025-11-30;Validee;Oui;93
INS-0029;USG-0029;2024-07-29;2025-07-29;Validee;Oui;78
INS-0030;USG-0030;2024-02-16;2025-02-15;Expiree;Oui;92
INS-0031;USG-0031;2024-09-23;2026-09-23;Validee;Oui;94
INS-0032;USG-0032;2024-12-01;2025-12-01;Validee;Oui;94
INS-0033;USG-0033;2024-01-16;2025-07-14;Validee;Oui;93
INS-0034;USG-0034;2024-11-27;2026-11-27;Validee;Oui;78
INS-0035;USG-0035;2024-10-27;2026-10-27;Validee;Oui;92
INS-0036;USG-0036;2024-01-21;2025-07-19;Validee;;93
INS-0037;USG-0037;2024-08-03;2026-08-03;Validee;Oui;78
INS-0038;USG-0038;2024-02-07;2025-02-06;Expiree;Oui;78
INS-0039;USG-0039;2024-12-13;2026-12-13;Validee;Oui;78
INS-0040;USG-0040;2024-04-28;2026-04-28;Validee;Oui;93
INS-0041;USG-0041;2024-11-05;2026-11-05;Validee;Oui;93
INS-0042;USG-0042;2024-06-21;2026-06-21;Validee;Oui;75
INS-0043;USG-0043;2024-12-19;2026-12-19;Validee;Oui;75
INS-0044;USG-0044;2024-03-12;2025-03-12;Expiree;Oui;94
INS-0045;USG-0045;2024-04-01;2026-04-01;Validee;Oui;92
INS-0999;USG-9999;2025-01-01;2025-12-31;Validee;Oui;75
