reservation_id;usager_id;date_reservation;date_transport;heure_souhaitee;adresse_depart;adresse_arrivee;statut;motif;besoin_fauteuil
RSV-0001;USG-0031;2025-04-20;2025-05-01;12:15;35 rue Depart;120 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0002;USG-0044;2025-05-13;2025-05-14;19:00;72 rue Depart;17 avenue Arrivee;En attente;Medical;Non
RSV-0003;USG-0039;2025-05-15;2025-05-27;13:45;9 rue Depart;103 avenue Arrivee;Confirmee;Travail;Non
RSV-0004;USG-0023;2025-06-02;2025-06-14;13:45;15 rue Depart;51 avenue Arrivee;Confirmee;Demarche;Non
RSV-0005;USG-0033;2025-05-02;2025-05-07;10:00;89 rue Depart;16 avenue Arrivee;Confirmee;Travail;Oui
RSV-0006;USG-0013;2025-04-21;2025-05-05;13:45;119 rue Depart;94 avenue Arrivee;Annulee;Loisir;Oui
RSV-0007;USG-0003;2025-04-28;2025-05-07;11:45;49 rue Depart;107 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0008;USG-0023;2025-06-06;2025-06-08;09:00;57 rue Depart;51 avenue Arrivee;En attente;Demarche;Non
RSV-0009;USG-0003;2025-05-07;2025-05-19;12:30;20 rue Depart;41 avenue Arrivee;En attente;Loisir;Oui
RSV-0010;USG-0024;2025-04-25;2025-05-03;16:15;27 rue Depart;43 avenue Arrivee;Confirmee;Loisir;Oui
RSV-0011;USG-0036;2025-05-17;2025-05-20;19:15;60 rue Depart;62 avenue Arrivee;Confirmee;Loisir;Non
RSV-0012;USG-0041;2025-05-06;2025-05-18;13:30;11 rue Depart;84 avenue Arrivee;Annulee;Loisir;Non
RSV-0013;USG-0007;2025-06-02;2025-06-09;12:15;30 rue Depart;100 avenue Arrivee;Confirmee;Travail;Non
RSV-0014;USG-0045;2025-05-22;2025-06-02;14:30;78 rue Depart;31 avenue Arrivee;Confirmee;Travail;Non
RSV-0015;USG-0034;2025-06-01;2025-06-14;13:00;75 rue Depart;50 avenue Arrivee;En attente;Medical;Non
RSV-0016;USG-0024;2025-06-07;2025-06-10;09:30;90 rue Depart;76 avenue Arrivee;Confirmee;Travail;Oui
RSV-0017;USG-0020;2025-05-06;2025-05-11;14:15;79 rue Depart;105 avenue Arrivee;Confirmee;Demarche;Non
RSV-0018;USG-0013;2025-04-20;2025-05-04;19:30;119 rue Depart;119 avenue Arrivee;Confirmee;Loisir;Oui
RSV-0019;USG-0002;2025-05-11;2025-05-22;16:15;42 rue Depart;6 avenue Arrivee;Confirmee;Travail;Oui
RSV-0020;USG-0003;2025-04-21;2025-05-06;09:45;56 rue Depart;23 avenue Arrivee;Confirmee;Medical;Oui
RSV-0021;USG-0039;2025-06-04;2025-06-11;08:15;31 rue Depart;87 avenue Arrivee;Confirmee;Travail;Non
RSV-0022;USG-0029;2025-05-26;2025-06-07;12:45;3 rue Depart;79 avenue Arrivee;Annulee;Demarche;Oui
RSV-0023;USG-0028;2025-05-24;2025-06-08;09:15;25 rue Depart;30 avenue Arrivee;Confirmee;Loisir;Non
