trajet_id;reservation_id;vehicule_id;conducteur_id;heure_prise_en_charge;heure_depose_prevue;nb_passagers;statut
TRJ-0001;RSV-0057;VEH-008;CDR-002;2025-06-09 18:45;2025-06-09 19:59;1;Affecte
TRJ-0002;RSV-0004;VEH-005;CDR-016;2025-06-14 13:45;2025-06-14 15:15;1;Affecte
TRJ-0003;RSV-0098;VEH-003;CDR-012;2025-06-14 16:30;2025-06-14 17:26;1;Termine
TRJ-0004;RSV-0010;VEH-011;CDR-007;2025-05-03 16:15;2025-05-03 17:21;3;Planifie
TRJ-0005;RSV-0081;VEH-011;CDR-002;2025-05-11 07:15;2025-05-11 08:30;5;Termine
TRJ-0006;RSV-0009;VEH-004;CDR-007;2025-05-19 12:30;2025-05-19 13:12;1;Planifie
TRJ-0007;RSV-0053;VEH-001;CDR-018;2025-05-01 08:15;2025-05-01 08:40;1;Planifie
TRJ-0008;RSV-0013;VEH-009;CDR-008;2025-06-09 12:15;2025-06-09 13:06;5;Affecte
TRJ-0009;RSV-0039;VEH-001;CDR-008;2025-05-09 08:45;2025-05-09 09:49;1;Affecte
TRJ-0010;RSV-0011;VEH-009;CDR-018;2025-05-20 19:15;2025-05-20 19:43;1;Affecte
TRJ-0011;RSV-0100;VEH-012;CDR-017;2025-05-16 14:15;2025-05-16 14:54;3;Affecte
TRJ-0012;RSV-0032;VEH-002;CDR-001;2025-05-10 09:15;2025-05-10 09:41;3;Planifie
TRJ-0013;RSV-0007;VEH-002;CDR-020;2025-05-07 11:45;2025-05-07 12:31;1;Affecte
TRJ-0014;RSV-0080;VEH-008;CDR-003;2025-05-03 12:15;2025-05-03 13:34;1;Affecte
TRJ-0015;RSV-0076;VEH-004;CDR-014;2025-06-12 15:45;2025-06-12 17:07;3;Termine
TRJ-0016;RSV-0067;VEH-006;CDR-004;2025-06-14 16:30;2025-06-14 17:15;1;Affecte
TRJ-0017;RSV-0078;VEH-005;CDR-011;2025-05-29 19:00;2025-05-29 19:30;5;Termine
TRJ-0018;RSV-0092;VEH-001;CDR-014;2025-05-30 19:45;2025-05-30 20:14;3;Termine
TRJ-0019;RSV-0019;VEH-005;CDR-012;2025-05-22 16:15;2025-05-22 17:32;5;Planifie
TRJ-0020;RSV-0042;VEH-007;CDR-011;2025-05-15 07:00;2025-05-15 08:20;1;Planifie
TRJ-0021;RSV-0096;VEH-012;CDR-019;2025-06-12 09:30;2025-06-12 09:59;3;Termine
TRJ-0022;RSV-0050;VEH-003;CDR-011;2025-05-11 14:00;2025-05-11 14:24;1;Planifie
TRJ-0023;RSV-0062;VEH-002;CDR-005;2025-05-20 08:15;2025-05-20 09:32;3;Planifie
TRJ-0024;RSV-0040;VEH-003;CDR-004;2025-05-18 19:45;2025-05-18 20:40;1;Termine
TRJ-0025;RSV-0028;VEH-006;CDR-007;2025-06-01 08:45;2025-06-01 09:14;3;Affecte
TRJ-0026;RSV-0029;VEH-009;CDR-009;2025-05-29 17:15;2025-05-29 18:14;1;Affecte
TRJ-0027;RSV-0093;VEH-011;CDR-004;2025-05-24 10:00;2025-05-24 10:54;1;Termine
TRJ-0028;RSV-0069;VEH-001;CDR-008;2025-06-12 09:30;2025-06-12 10:49;1;Affecte
TRJ-0029;RSV-0083;VEH-006;CDR-010;2025-06-08 11:45;2025-06-08 12:13;1;Planifie
TRJ-0030;RSV-0034;VEH-006;CDR-018;2025-05-26 15:45;2025-05-26 17:15;2;Termine
TRJ-0031;RSV-0031;VEH-006;CDR-015;2025-06-14 11:00;2025-06-14 12:07;2;Termine
TRJ-0032;RSV-0018;VEH-007;CDR-007;2025-05-04 19:58;2025-05-04 19:30;2;Affecte
TRJ-0033;RSV-0002;VEH-007;CDR-005;2025-05-14 19:00;2025-05-14 19:40;1;Termine
TRJ-0034;RSV-0097;VEH-007;CDR-009;2025-06-07 12:45;2025-06-07 13:48;3;Affecte
TRJ-0035;RSV-0020;VEH-012;CDR-002;2025-05-06 09:45;2025-05-06 10:51;3;Termine
TRJ-0036;RSV-0073;VEH-008;CDR-001;2025-05-31 13:45;2025-05-31 14:07;1;Planifie
TRJ-0037;RSV-0046;VEH-008;CDR-008;2025-05-24 08:45;2025-05-24 09:31;1;Planifie
TRJ-0038;RSV-0036;VEH-003;CDR-013;2025-05-22 14:00;2025-05-22 15:26;1;Termine
TRJ-0039;RSV-0084;VEH-001;CDR-016;2025-05-13 11:15;2025-05-13 12:00;3;Planifie
TRJ-0040;RSV-0026;VEH-007;CDR-012;2025-05-15 19:45;2025-05-15 20:16;3;Termine
TRJ-0041;RSV-0021;VEH-001;CDR-017;2025-06-11 08:15;2025-06-11 08:39;2;Termine
TRJ-0042;RSV-0094;VEH-008;CDR-016;2025-05-07 10:30;2025-05-07 11:58;3;Termine
TRJ-0043;RSV-0038;VEH-006;CDR-015;2025-05-26 15:00;2025-05-26 16:08;2;Termine
TRJ-0044;RSV-0003;VEH-001;CDR-001;2025-05-27 13:45;2025-05-27 14:52;1;Affecte
TRJ-0045;RSV-0015;VEH-011;CDR-017;2025-06-14 13:00;2025-06-14 13:21;1;Affecte
TRJ-0046;RSV-0035;VEH-011;CDR-020;2025-06-08 10:30;2025-06-08 11:40;5;Termine
TRJ-0047;RSV-0006;VEH-006;CDR-010;2025-05-05 13:45;2025-05-05 14:51;3;Termine
TRJ-0048;RSV-0047;VEH-011;CDR-007;2025-06-06 07:45;2025-06-06 08:45;1;Termine
TRJ-0049;RSV-0090;VEH-003;CDR-011;2025-05-12 16:00;2025-05-12 16:23;1;Termine
TRJ-0050;RSV-0027;VEH-002;CDR-019;2025-05-18 10:15;2025-05-18 11:36;1;Affecte
TRJ-0051;RSV-0048;VEH-005;CDR-001;2025-05-20 17:15;2025-05-20 17:55;5;Affecte
TRJ-0052;RSV-0024;VEH-006;CDR-014;2025-06-13 16:15;2025-06-13 16:43;1;Planifie
TRJ-0053;RSV-0041;VEH-009;CDR-009;2025-05-28 10:45;2025-05-28 11:58;1;Termine
TRJ-0054;RSV-0079;VEH-005;CDR-012;2025-05-11 11:30;2025-05-11 12:07;1;Planifie
TRJ-0055;RSV-0054;VEH-008;CDR-019;2025-05-22 12:45;2025-05-22 14:05;5;Termine
TRJ-0056;RSV-0099;VEH-004;CDR-010;2025-05-20 08:15;2025-05-20 09:02;3;Affecte
TRJ-0057;RSV-0014;VEH-003;CDR-017;2025-06-02 14:30;2025-06-02 15:19;2;Affecte
TRJ-0058;RSV-0045;VEH-002;CDR-004;2025-06-04 13:15;2025-06-04 14:11;2;Planifie
TRJ-0059;RSV-0085;VEH-002;CDR-008;2025-06-04 14:30;2025-06-04 14:57;5;Affecte
TRJ-0060;RSV-0008;VEH-010;CDR-013;2025-06-08 09:00;2025-06-08 09:29;1;Termine
TRJ-0061;RSV-0061;VEH-008;CDR-019;2025-05-15 15:15;2025-05-15 16:00;5;Planifie
TRJ-0062;RSV-0091;VEH-012;CDR-016;2025-05-21 17:45;2025-05-21 18:59;1;Termine
TRJ-0063;RSV-0065;VEH-004;CDR-015;2025-05-28 14:00;2025-05-28 15:10;5;Termine
TRJ-0064;RSV-0058;VEH-001;CDR-020;2025-05-17 10:15;2025-05-17 11:38;2;Affecte
TRJ-0065;RSV-0072;VEH-002;CDR-009;2025-06-04 18:00;2025-06-04 18:34;1;Planifie
TRJ-0066;RSV-0063;VEH-002;CDR-007;2025-05-08 10:30;2025-05-08 10:53;1;Planifie
TRJ-0067;RSV-0087;VEH-004;CDR-003;2025-06-12 13:45;2025-06-12 15:09;5;Affecte
TRJ-0068;RSV-0088;VEH-006;CDR-006;2025-06-08 13:00;2025-06-08 13:34;1;Planifie
TRJ-0069;RSV-0095;VEH-001;CDR-006;2025-05-18 19:45;2025-05-18 20:34;1;Affecte
TRJ-0070;RSV-0064;VEH-002;CDR-003;2025-06-14 15:45;2025-06-14 16:19;1;Planifie
TRJ-0071;RSV-0037;VEH-007;CDR-014;2025-05-12 17:15;2025-05-12 18:17;1;Planifie
TRJ-0072;RSV-0082;VEH-004;CDR-010;2025-05-16 14:30;2025-05-16 15:27;1;Planifie
TRJ-0073;RSV-0030;VEH-012;CDR-005;2025-05-08 18:45;2025-05-08 19:10;3;Affecte
TRJ-0074;RSV-0074;VEH-006;CDR-016;2025-06-09 16:30;2025-06-09 17:37;1;Affecte
TRJ-0075;RSV-0033;VEH-006;CDR-002;2025-06-13 15:45;2025-06-13 16:38;3;Affecte
TRJ-0076;RSV-0055;VEH-007;CDR-017;2025-06-14 09:45;2025-06-14 10:39;1;Planifie
TRJ-0077;RSV-0075;VEH-001;CDR-008;2025-06-06 18:45;2025-06-06 19:19;1;Affecte
TRJ-0078;RSV-0086;VEH-008;CDR-016;2025-05-21 08:15;2025-05-21 09:18;2;Planifie
TRJ-0999;RSV-9999;VEH-001;CDR-001;2025-05-20 10:00;2025-05-20 10:45;1;Planifie
